"","Species","Ecoregion","mean_ProbEst"
"463"," picesitc"," eco3",0
"464"," picesitc"," eco30",0
"465"," picesitc"," eco4",0
"466"," picesitc"," eco6",0
"467"," picesitc"," eco7",0
"468"," picesitc"," eco8",0
"469"," pinunigr"," eco1",0
"470"," pinunigr"," eco10",0
"471"," pinunigr"," eco11",0
"472"," pinunigr"," eco12",0
"473"," pinunigr"," eco14",0
"474"," pinunigr"," eco16",0
"475"," pinunigr"," eco17",0
"476"," pinunigr"," eco18",0
"477"," pinunigr"," eco19",0
"478"," pinunigr"," eco2",0
"479"," pinunigr"," eco20",0
"480"," pinunigr"," eco21",0
"481"," pinunigr"," eco22",0
"482"," pinunigr"," eco23",0
"483"," pinunigr"," eco24",0
"484"," pinunigr"," eco25",0
"485"," pinunigr"," eco26",0
"486"," pinunigr"," eco27",0
"487"," pinunigr"," eco28",0
"488"," pinunigr"," eco29",0
"489"," pinunigr"," eco3",0
"490"," pinunigr"," eco30",0
"491"," pinunigr"," eco4",0
"492"," pinunigr"," eco6",0
"493"," pinunigr"," eco7",0
"494"," pinunigr"," eco8",0
"495"," pinupond"," eco1",0
"496"," pinupond"," eco10",0
"497"," pinupond"," eco11",0
"498"," pinupond"," eco12",0
"499"," pinupond"," eco14",0
"500"," pinupond"," eco16",0
"501"," pinupond"," eco17",0
"502"," pinupond"," eco18",0
"503"," pinupond"," eco19",0
"504"," pinupond"," eco2",0
"505"," pinupond"," eco20",0
"506"," pinupond"," eco21",0
"507"," pinupond"," eco22",0
"508"," pinupond"," eco23",0
"509"," pinupond"," eco24",0
"510"," pinupond"," eco25",0
"511"," pinupond"," eco26",0
"512"," pinupond"," eco27",0
"513"," pinupond"," eco28",0
"514"," pinupond"," eco29",0
"515"," pinupond"," eco3",0
"516"," pinupond"," eco30",0
"517"," pinupond"," eco4",0
"518"," pinupond"," eco6",0
"519"," pinupond"," eco7",0
"520"," pinupond"," eco8",0
"521"," pinusylv"," eco1",0.06
"522"," pinusylv"," eco10",0.06
"523"," pinusylv"," eco11",0.06
"524"," pinusylv"," eco12",0.06
"525"," pinusylv"," eco14",0.06
"526"," pinusylv"," eco16",0.06
"527"," pinusylv"," eco17",0.06
"528"," pinusylv"," eco18",0.06
"529"," pinusylv"," eco19",0.06
"530"," pinusylv"," eco2",0.06
"531"," pinusylv"," eco20",0.06
"532"," pinusylv"," eco21",0.06
"533"," pinusylv"," eco22",0.06
"534"," pinusylv"," eco23",0.06
"535"," pinusylv"," eco24",0.06
"536"," pinusylv"," eco25",0.06
"537"," pinusylv"," eco26",0.06
"538"," pinusylv"," eco27",0.06
"539"," pinusylv"," eco28",0.06
"540"," pinusylv"," eco29",0.06
"541"," pinusylv"," eco3",0.06
"542"," pinusylv"," eco30",0.06
"543"," pinusylv"," eco4",0.06
"544"," pinusylv"," eco6",0.06
"545"," pinusylv"," eco7",0.06
"546"," pinusylv"," eco8",0.06
"547"," popualba"," eco1",0
"548"," popualba"," eco10",0
"549"," popualba"," eco11",0
"550"," popualba"," eco12",0
"551"," popualba"," eco14",0
"552"," popualba"," eco16",0
"553"," popualba"," eco17",0
"554"," popualba"," eco18",0
"555"," popualba"," eco19",0
"556"," popualba"," eco2",0
"557"," popualba"," eco20",0
"558"," popualba"," eco21",0
"559"," popualba"," eco22",0
"560"," popualba"," eco23",0
"561"," popualba"," eco24",0
"562"," popualba"," eco25",0
"563"," popualba"," eco26",0
"564"," popualba"," eco27",0
"565"," popualba"," eco28",0
"566"," popualba"," eco29",0.05
"567"," popualba"," eco3",0
"568"," popualba"," eco30",0
"569"," popualba"," eco4",0
"570"," popualba"," eco6",0
"571"," popualba"," eco7",0
"572"," popualba"," eco8",0
"573"," prunspin"," eco1",0.06
"574"," prunspin"," eco10",0.04
"575"," prunspin"," eco11",0.06
"576"," prunspin"," eco12",0.06
"577"," prunspin"," eco14",0
"578"," prunspin"," eco16",0
"579"," prunspin"," eco17",0.06
"580"," prunspin"," eco18",0.04
"581"," prunspin"," eco19",0
"582"," prunspin"," eco2",0
"583"," prunspin"," eco20",0
"584"," prunspin"," eco21",0
"585"," prunspin"," eco22",0
"586"," prunspin"," eco23",0
"587"," prunspin"," eco24",0.02
"588"," prunspin"," eco25",0.06
"589"," prunspin"," eco26",0
"590"," prunspin"," eco27",0.04
"591"," prunspin"," eco28",0.05
"592"," prunspin"," eco29",0.08
"593"," prunspin"," eco3",0.06
"594"," prunspin"," eco30",0.03
"595"," prunspin"," eco4",0.05
"596"," prunspin"," eco6",0
"597"," prunspin"," eco7",0.04
"598"," prunspin"," eco8",0.06
"599"," pseumenz"," eco1",0
"600"," pseumenz"," eco10",0
"601"," pseumenz"," eco11",0
"602"," pseumenz"," eco12",0
"603"," pseumenz"," eco14",0
"604"," pseumenz"," eco16",0
"605"," pseumenz"," eco17",0
"606"," pseumenz"," eco18",0
"607"," pseumenz"," eco19",0
"608"," pseumenz"," eco2",0
"609"," pseumenz"," eco20",0
"610"," pseumenz"," eco21",0
"611"," pseumenz"," eco22",0
"612"," pseumenz"," eco23",0
"613"," pseumenz"," eco24",0
"614"," pseumenz"," eco25",0
"615"," pseumenz"," eco26",0
"616"," pseumenz"," eco27",0
"617"," pseumenz"," eco28",0
"618"," pseumenz"," eco29",0
"619"," pseumenz"," eco3",0
"620"," pseumenz"," eco30",0
"621"," pseumenz"," eco4",0
"622"," pseumenz"," eco6",0
"623"," pseumenz"," eco7",0
"624"," pseumenz"," eco8",0
"625"," querrobu"," eco1",0
"626"," querrobu"," eco10",0
"627"," querrobu"," eco11",0
"628"," querrobu"," eco12",0
"629"," querrobu"," eco14",0
"630"," querrobu"," eco16",0
"631"," querrobu"," eco17",0
"632"," querrobu"," eco18",0
"633"," querrobu"," eco19",0
"634"," querrobu"," eco2",0
"635"," querrobu"," eco20",0
"636"," querrobu"," eco21",0
"637"," querrobu"," eco22",0
"638"," querrobu"," eco23",0
"639"," querrobu"," eco24",0
"640"," querrobu"," eco25",0
"641"," querrobu"," eco26",0
"642"," querrobu"," eco27",0
"643"," querrobu"," eco28",0
"644"," querrobu"," eco29",0
"645"," querrobu"," eco3",0
"646"," querrobu"," eco30",0
"647"," querrobu"," eco4",0
"648"," querrobu"," eco6",0
"649"," querrobu"," eco7",0
"650"," querrobu"," eco8",0
"651"," querrubr"," eco1",0
"652"," querrubr"," eco10",0
"653"," querrubr"," eco11",0
"654"," querrubr"," eco12",0
"655"," querrubr"," eco14",0
"656"," querrubr"," eco16",0
"657"," querrubr"," eco17",0
"658"," querrubr"," eco18",0
"659"," querrubr"," eco19",0
"660"," querrubr"," eco2",0
"661"," querrubr"," eco20",0
"662"," querrubr"," eco21",0
"663"," querrubr"," eco22",0
"664"," querrubr"," eco23",0
"665"," querrubr"," eco24",0
"666"," querrubr"," eco25",0
"667"," querrubr"," eco26",0
"668"," querrubr"," eco27",0
"669"," querrubr"," eco28",0
"670"," querrubr"," eco29",0
"671"," querrubr"," eco3",0
"672"," querrubr"," eco30",0
"673"," querrubr"," eco4",0
"674"," querrubr"," eco6",0
"675"," querrubr"," eco7",0
"676"," querrubr"," eco8",0
"677"," salicine"," eco1",0.02
"678"," salicine"," eco10",0.02
"679"," salicine"," eco11",0.02
"680"," salicine"," eco12",0.02
"681"," salicine"," eco14",0.02
"682"," salicine"," eco16",0.02
"683"," salicine"," eco17",0.02
"684"," salicine"," eco18",0.02
"685"," salicine"," eco19",0.02
"686"," salicine"," eco2",0.02
"687"," salicine"," eco20",0.02
"688"," salicine"," eco21",0.02
"689"," salicine"," eco22",0.02
"690"," salicine"," eco23",0.02
"691"," salicine"," eco24",0.02
"692"," salicine"," eco25",0.02
"693"," salicine"," eco26",0.02
"694"," salicine"," eco27",0.02
"695"," salicine"," eco28",0.02
"696"," salicine"," eco29",0.02
"697"," salicine"," eco3",0.02
"698"," salicine"," eco30",0.02
"699"," salicine"," eco4",0.02
"700"," salicine"," eco6",0.02
"701"," salicine"," eco7",0.02
"702"," salicine"," eco8",0.02
"703"," sequsemp"," eco1",0.05
"704"," sequsemp"," eco10",0.05
"705"," sequsemp"," eco11",0.05
"706"," sequsemp"," eco12",0.05
"707"," sequsemp"," eco14",0.05
"708"," sequsemp"," eco16",0.05
"709"," sequsemp"," eco17",0.05
"710"," sequsemp"," eco18",0.05
"711"," sequsemp"," eco19",0.05
"712"," sequsemp"," eco2",0.05
"713"," sequsemp"," eco20",0.05
"714"," sequsemp"," eco21",0.05
"715"," sequsemp"," eco22",0.05
"716"," sequsemp"," eco23",0.05
"717"," sequsemp"," eco24",0.05
"718"," sequsemp"," eco25",0.05
"719"," sequsemp"," eco26",0.05
"720"," sequsemp"," eco27",0.05
"721"," sequsemp"," eco28",0.05
"722"," sequsemp"," eco29",0.05
"723"," sequsemp"," eco3",0.05
"724"," sequsemp"," eco30",0.05
"725"," sequsemp"," eco4",0.05
"726"," sequsemp"," eco6",0.05
"727"," sequsemp"," eco7",0.05
"728"," sequsemp"," eco8",0.05
"729"," sorbaria"," eco1",0.06
"730"," sorbaria"," eco10",0.04
"731"," sorbaria"," eco11",0.06
"732"," sorbaria"," eco12",0.06
"733"," sorbaria"," eco14",0
"734"," sorbaria"," eco16",0
"735"," sorbaria"," eco17",0.06
"736"," sorbaria"," eco18",0.04
"737"," sorbaria"," eco19",0
"738"," sorbaria"," eco2",0
"739"," sorbaria"," eco20",0
"740"," sorbaria"," eco21",0
"741"," sorbaria"," eco22",0
"742"," sorbaria"," eco23",0
"743"," sorbaria"," eco24",0.02
"744"," sorbaria"," eco25",0.06
"745"," sorbaria"," eco26",0
"746"," sorbaria"," eco27",0.04
"747"," sorbaria"," eco28",0.05
"748"," sorbaria"," eco29",0.08
"749"," sorbaria"," eco3",0.06
"750"," sorbaria"," eco30",0.03
"751"," sorbaria"," eco4",0.05
"752"," sorbaria"," eco6",0
"753"," sorbaria"," eco7",0.04
"754"," sorbaria"," eco8",0.06
"755"," sorbaucu"," eco1",0.06
"756"," sorbaucu"," eco10",0.04
"757"," sorbaucu"," eco11",0.06
"758"," sorbaucu"," eco12",0.06
"759"," sorbaucu"," eco14",0
"760"," sorbaucu"," eco16",0
"761"," sorbaucu"," eco17",0.06
"762"," sorbaucu"," eco18",0.04
"763"," sorbaucu"," eco19",0
"764"," sorbaucu"," eco2",0
"765"," sorbaucu"," eco20",0
"766"," sorbaucu"," eco21",0
"767"," sorbaucu"," eco22",0
"768"," sorbaucu"," eco23",0
"769"," sorbaucu"," eco24",0.02
"770"," sorbaucu"," eco25",0.06
"771"," sorbaucu"," eco26",0
"772"," sorbaucu"," eco27",0.04
"773"," sorbaucu"," eco28",0.05
"774"," sorbaucu"," eco29",0.08
"775"," sorbaucu"," eco3",0.06
"776"," sorbaucu"," eco30",0.03
"777"," sorbaucu"," eco4",0.05
"778"," sorbaucu"," eco6",0
"779"," sorbaucu"," eco7",0.04
"780"," sorbaucu"," eco8",0.06
"781"," sorbtorm"," eco1",0.06
"782"," sorbtorm"," eco10",0.04
"783"," sorbtorm"," eco11",0.06
"784"," sorbtorm"," eco12",0.06
"785"," sorbtorm"," eco14",0
"786"," sorbtorm"," eco16",0
"787"," sorbtorm"," eco17",0.06
"788"," sorbtorm"," eco18",0.04
"789"," sorbtorm"," eco19",0
"790"," sorbtorm"," eco2",0
"791"," sorbtorm"," eco20",0
"792"," sorbtorm"," eco21",0
"793"," sorbtorm"," eco22",0
"794"," sorbtorm"," eco23",0
"795"," sorbtorm"," eco24",0.02
"796"," sorbtorm"," eco25",0.06
"797"," sorbtorm"," eco26",0
"798"," sorbtorm"," eco27",0.04
"799"," sorbtorm"," eco28",0.05
"800"," sorbtorm"," eco29",0.08
"801"," sorbtorm"," eco3",0.06
"802"," sorbtorm"," eco30",0.03
"803"," sorbtorm"," eco4",0.05
"804"," sorbtorm"," eco6",0
"805"," sorbtorm"," eco7",0.04
"806"," sorbtorm"," eco8",0.06
"807"," taxubacc"," eco1",0.06
"808"," taxubacc"," eco10",0.04
"809"," taxubacc"," eco11",0.06
"810"," taxubacc"," eco12",0.06
"811"," taxubacc"," eco14",0
"812"," taxubacc"," eco16",0
"813"," taxubacc"," eco17",0.06
"814"," taxubacc"," eco18",0.04
"815"," taxubacc"," eco19",0
"816"," taxubacc"," eco2",0
"817"," taxubacc"," eco20",0
"818"," taxubacc"," eco21",0
"819"," taxubacc"," eco22",0
"820"," taxubacc"," eco23",0
"821"," taxubacc"," eco24",0.02
"822"," taxubacc"," eco25",0.06
"823"," taxubacc"," eco26",0
"824"," taxubacc"," eco27",0.04
"825"," taxubacc"," eco28",0.05
"826"," taxubacc"," eco29",0.08
"827"," taxubacc"," eco3",0.06
"828"," taxubacc"," eco30",0.03
"829"," taxubacc"," eco4",0.05
"830"," taxubacc"," eco6",0
"831"," taxubacc"," eco7",0.04
"832"," taxubacc"," eco8",0.06
"833"," tiliplat"," eco1",0
"834"," tiliplat"," eco10",0
"835"," tiliplat"," eco11",0
"836"," tiliplat"," eco12",0
"837"," tiliplat"," eco14",0
"838"," tiliplat"," eco16",0
"839"," tiliplat"," eco17",0
"840"," tiliplat"," eco18",0
"841"," tiliplat"," eco19",0
"842"," tiliplat"," eco2",0
"843"," tiliplat"," eco20",0
"844"," tiliplat"," eco21",0
"845"," tiliplat"," eco22",0
"846"," tiliplat"," eco23",0
"847"," tiliplat"," eco24",0
"848"," tiliplat"," eco25",0
"849"," tiliplat"," eco26",0
"850"," tiliplat"," eco27",0
"851"," tiliplat"," eco28",0
"852"," tiliplat"," eco29",0
"853"," tiliplat"," eco3",0
"854"," tiliplat"," eco30",0
"855"," tiliplat"," eco4",0
"856"," tiliplat"," eco6",0
"857"," tiliplat"," eco7",0
"858"," tiliplat"," eco8",0
"859"," tsughete"," eco1",0
"860"," tsughete"," eco10",0
"861"," tsughete"," eco11",0
"862"," tsughete"," eco12",0
"863"," tsughete"," eco14",0
"864"," tsughete"," eco16",0
"865"," tsughete"," eco17",0
"866"," tsughete"," eco18",0
"867"," tsughete"," eco19",0
"868"," tsughete"," eco2",0
"869"," tsughete"," eco20",0
"870"," tsughete"," eco21",0
"871"," tsughete"," eco22",0
"872"," tsughete"," eco23",0
"873"," tsughete"," eco24",0
"874"," tsughete"," eco25",0
"875"," tsughete"," eco26",0
"876"," tsughete"," eco27",0
"877"," tsughete"," eco28",0
"878"," tsughete"," eco29",0
"879"," tsughete"," eco3",0
"880"," tsughete"," eco30",0
"881"," tsughete"," eco4",0
"882"," tsughete"," eco6",0
"883"," tsughete"," eco7",0
"884"," tsughete"," eco8",0
"885"," vibuopul"," eco1",0
"886"," vibuopul"," eco10",0
"887"," vibuopul"," eco11",0
"888"," vibuopul"," eco12",0
"889"," vibuopul"," eco14",0
"890"," vibuopul"," eco16",0
"891"," vibuopul"," eco17",0
"892"," vibuopul"," eco18",0
"893"," vibuopul"," eco19",0
"894"," vibuopul"," eco2",0
"895"," vibuopul"," eco20",0
"896"," vibuopul"," eco21",0
"897"," vibuopul"," eco22",0
"898"," vibuopul"," eco23",0
"899"," vibuopul"," eco24",0
"900"," vibuopul"," eco25",0
"901"," vibuopul"," eco26",0
"902"," vibuopul"," eco27",0
"903"," vibuopul"," eco28",0
"904"," vibuopul"," eco29",0
"905"," vibuopul"," eco3",0
"906"," vibuopul"," eco30",0
"907"," vibuopul"," eco4",0
"908"," vibuopul"," eco6",0
"909"," vibuopul"," eco7",0
"910"," vibuopul"," eco8",0
